pid	trial_id	Subject	Session	Trial	Time	Trial_Start	Trial_End	Dots_Shown	Dots_Counted	Score	Dot_Width	Dot_Height	dl_x	dl_y
1	252	frank	1	26	2.5	1522865215.717011	1522865218.21975	72	42	0.5833333333333333	10	10	1336	323
1	252	frank	1	26	2.5	1522865215.717011	1522865218.21975	72	42	0.5833333333333333	10	10	641	925
1	252	frank	1	26	2.5	1522865215.717011	1522865218.21975	72	42	0.5833333333333333	10	10	622	132
1	252	frank	1	26	2.5	1522865215.717011	1522865218.21975	72	42	0.5833333333333333	10	10	805	667
1	252	frank	1	26	2.5	1522865215.717011	1522865218.21975	72	42	0.5833333333333333	10	10	174	232
1	253	frank	1	27	2.5	1522865224.761736	1522865227.26578	111	54	0.4864864864864865	10	10	733	747
1	253	frank	1	27	2.5	1522865224.761736	1522865227.26578	111	54	0.4864864864864865	10	10	1622	155
1	253	frank	1	27	2.5	1522865224.761736	1522865227.26578	111	54	0.4864864864864865	10	10	1563	358
1	253	frank	1	27	2.5	1522865224.761736	1522865227.26578	111	54	0.4864864864864865	10	10	428	707
1	253	frank	1	27	2.5	1522865224.761736	1522865227.26578	111	54	0.4864864864864865	10	10	50	614
1	253	frank	1	27	2.5	1522865224.761736	1522865227.26578	111	54	0.4864864864864865	10	10	1588	58
1	253	frank	1	27	2.5	1522865224.761736	1522865227.26578	111	54	0.4864864864864865	10	10	211	343
1	253	frank	1	27	2.5	1522865224.761736	1522865227.26578	111	54	0.4864864864864865	10	10	1569	713
1	253	frank	1	27	2.5	1522865224.761736	1522865227.26578	111	54	0.4864864864864865	10	10	678	399
1	253	frank	1	27	2.5	1522865224.761736	1522865227.26578	111	54	0.4864864864864865	10	10	653	746
1	253	frank	1	27	2.5	1522865224.761736	1522865227.26578	111	54	0.4864864864864865	10	10	1297	202
1	253	frank	1	27	2.5	1522865224.761736	1522865227.26578	111	54	0.4864864864864865	10	10	1177	273
1	253	frank	1	27	2.5	1522865224.761736	1522865227.26578	111	54	0.4864864864864865	10	10	1377	594
1	253	frank	1	27	2.5	1522865224.761736	1522865227.26578	111	54	0.4864864864864865	10	10	1307	937
1	253	frank	1	27	2.5	1522865224.761736	1522865227.26578	111	54	0.4864864864864865	10	10	1287	308
1	253	frank	1	27	2.5	1522865224.761736	1522865227.26578	111	54	0.4864864864864865	10	10	612	758
1	253	frank	1	27	2.5	1522865224.761736	1522865227.26578	111	54	0.4864864864864865	10	10	164	72
1	253	frank	1	27	2.5	1522865224.761736	1522865227.26578	111	54	0.4864864864864865	10	10	1247	332
1	253	frank	1	27	2.5	1522865224.761736	1522865227.26578	111	54	0.4864864864864865	10	10	335	1003
1	253	frank	1	27	2.5	1522865224.761736	1522865227.26578	111	54	0.4864864864864865	10	10	441	404
1	253	frank	1	27	2.5	1522865224.761736	1522865227.26578	111	54	0.4864864864864865	10	10	693	694
1	253	frank	1	27	2.5	1522865224.761736	1522865227.26578	111	54	0.4864864864864865	10	10	1053	25
1	253	frank	1	27	2.5	1522865224.761736	1522865227.26578	111	54	0.4864864864864865	10	10	88	721
1	253	frank	1	27	2.5	1522865224.761736	1522865227.26578	111	54	0.4864864864864865	10	10	1403	438
1	253	frank	1	27	2.5	1522865224.761736	1522865227.26578	111	54	0.4864864864864865	10	10	1610	521
1	253	frank	1	27	2.5	1522865224.761736	1522865227.26578	111	54	0.4864864864864865	10	10	882	986
1	253	frank	1	27	2.5	1522865224.761736	1522865227.26578	111	54	0.4864864864864865	10	10	208	110
1	253	frank	1	27	2.5	1522865224.761736	1522865227.26578	111	54	0.4864864864864865	10	10	526	766
1	253	frank	1	27	2.5	1522865224.761736	1522865227.26578	111	54	0.4864864864864865	10	10	179	792
