pid	trial_id	TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePoint
4	527	283.2	634.4860	530.1120	0	647.2802	543.9979	0	640.8831	537.054
4	527	299.8	635.6928	532.9149	0	643.0767	546.5576	0	639.3847	539.736
4	527	316.4	631.2707	528.9395	0	630.7079	546.1652	0	630.9893	537.552
4	527	333.1	632.6818	529.4339	0	631.4605	534.6021	0	632.0711	532.018
4	527	349.8	630.9711	529.4783	0	636.4908	539.6545	0	633.7310	534.566
4	527	366.4	629.4127	531.9688	0	630.6805	544.9487	0	630.0466	538.458
4	527	383.0	623.2370	525.3467	0	627.3109	545.1603	0	625.2739	535.253
4	527	399.7	625.2115	536.6434	0	632.4988	545.5818	0	628.8552	541.112
4	527	416.4	628.5548	533.0149	0	630.5814	541.3578	0	629.5681	537.186
4	527	433.0	633.0806	530.1255	0	636.0464	534.3566	0	634.5635	532.241
4	527	449.7	632.1603	525.7005	0	644.7254	536.5874	0	638.4429	531.144
4	527	466.3	824.8123	547.3353	0	862.4511	548.8743	0	843.6317	548.104
4	527	483.0	969.2072	547.3263	0	978.3253	561.2465	0	973.7662	554.286
4	527	499.7	976.2621	546.6099	0	969.3891	557.7347	0	972.8256	552.172
4	527	516.3	968.7151	545.3110	0	982.9193	552.6345	0	975.8172	548.972
4	527	532.9	978.2386	553.0919	0	983.1182	564.4194	0	980.6784	558.755
4	527	549.6	978.2513	545.0753	0	973.4455	565.8236	0	975.8484	555.449
4	527	566.3	965.3894	556.3269	0	985.2078	563.7843	0	975.2986	560.055
4	527	582.9	977.0449	559.4759	0	981.5773	550.1214	0	979.3111	554.798
4	527	599.5	978.8399	566.7125	0	985.7373	555.7304	0	982.2886	561.221
4	527	616.2	982.6232	558.2686	0	975.2018	554.9278	0	978.9125	556.598
4	527	632.9	963.8756	548.7288	0	976.0401	568.1604	0	969.9578	558.444
4	527	649.5	965.8720	561.5091	0	971.0231	555.5816	0	968.4475	558.545
4	527	666.2	970.8787	554.9427	0	974.8387	562.4978	0	972.8587	558.720
4	527	682.9	1025.4159	587.1732	0	1034.4870	595.0212	0	1029.9514	591.097
4	527	699.5	1127.9267	661.8468	0	1152.1829	657.9281	0	1140.0548	659.887
4	527	716.1	1158.1252	714.5024	0	1170.2318	704.2074	0	1164.1785	709.354
4	527	732.7	1160.2578	692.8956	0	1169.2693	712.9602	0	1164.7635	702.927
4	527	749.5	1159.6270	703.0420	0	1155.9360	700.5320	0	1157.7815	701.787
4	527	766.1	1163.2798	684.9577	0	1154.7204	714.4663	0	1159.0001	699.712
4	527	782.7	1145.7996	701.4450	0	1148.3359	712.3516	0	1147.0678	706.898
4	527	799.3	1147.0133	695.9118	0	1143.9283	716.2543	0	1145.4708	706.083
4	527	816.1	1135.7721	707.3049	0	1145.3600	710.0633	0	1140.5661	708.684
4	527	832.7	1140.0508	697.9514	0	1149.8831	705.6370	0	1144.9669	701.794
4	527	849.3	1157.2932	713.0833	0	1152.7809	725.7093	0	1155.0370	719.396
4	527	865.9	1281.2083	800.0965	0	1278.8637	791.3491	0	1280.0360	795.722
4	527	882.7	1278.1319	861.9746	0	1296.5485	860.0464	0	1287.3402	861.010
4	527	899.3	1288.0851	859.2335	0	1298.2924	853.3067	0	1293.1887	856.270
4	527	915.9	1290.0069	856.8581	0	1292.1230	849.4904	0	1291.0650	853.174
4	527	932.6	1291.5372	853.9017	0	1289.6452	858.0830	0	1290.5912	855.992
4	527	949.3	1281.7896	874.6691	0	1297.2052	853.4489	0	1289.4974	864.059
4	527	965.9	1280.8608	862.3060	0	1292.6435	846.6912	0	1286.7521	854.498
4	527	982.6	1282.4145	869.0322	0	1295.6671	851.9520	0	1289.0408	860.492
4	528	0.0	936.5731	614.6857	0	951.3003	597.2760	0	943.9367	605.980
4	528	16.6	936.5845	602.7023	0	955.1332	597.1328	0	945.8588	599.917
4	528	33.2	943.0920	605.7775	0	955.9621	595.6240	0	949.5270	600.700
4	528	49.9	934.1841	597.1295	0	951.1587	600.6481	0	942.6714	598.888
4	528	66.6	884.1328	589.5898	0	911.9702	585.7331	0	898.0515	587.661
4	528	83.2	888.5744	590.2478	0	911.8365	577.6432	0	900.2055	583.945
4	528	99.9	887.7138	572.6913	0	912.7083	589.9174	0	900.2110	581.304
4	528	116.5	897.3005	589.5146	0	918.6538	586.6111	0	907.9772	588.062
4	528	133.2	889.3068	588.0620	0	913.4320	583.1900	0	901.3694	585.626
4	528	149.8	894.9644	596.5453	0	914.7871	583.2213	0	904.8757	589.883
4	528	166.5	902.9446	609.8843	0	912.9980	584.5088	0	907.9713	597.196
4	528	183.1	882.1665	588.3162	0	902.7734	585.5853	0	892.4700	586.950
4	528	199.8	898.2470	576.6842	0	898.5331	584.7390	0	898.3900	580.711
4	528	216.5	885.7599	577.1205	0	895.2162	589.6553	0	890.4880	583.387
4	528	233.1	900.2920	588.7497	0	912.2607	595.8665	0	906.2764	592.308
4	528	249.7	894.5401	585.6862	0	903.1579	599.0334	0	898.8490	592.359
4	528	266.4	883.6563	585.2947	0	893.0515	597.7790	0	888.3539	591.536
4	528	283.1	887.0943	583.3971	0	898.3925	594.5352	0	892.7434	588.966
4	528	299.7	872.8537	593.3765	0	878.3358	593.3098	0	875.5947	593.343
4	528	316.3	851.0687	583.3833	0	853.3753	586.8134	0	852.2220	585.098
4	528	333.1	844.9319	591.6893	0	847.5280	592.8731	0	846.2300	592.281
4	528	349.7	858.0341	586.1879	0	850.9612	585.2854	0	854.4977	585.736
4	528	366.3	844.6335	584.5496	0	851.4630	585.7170	0	848.0483	585.133
4	528	382.9	851.5559	595.9403	0	860.9326	587.6626	0	856.2442	591.801
4	528	399.7	844.8550	590.1242	0	839.2891	586.2585	0	842.0720	588.191
4	528	416.3	853.1145	582.4020	0	849.7288	589.6931	0	851.4217	586.047
4	528	432.9	848.8605	587.9120	0	845.7399	584.0793	0	847.3002	585.995
4	528	449.5	846.6010	581.2457	0	852.5225	594.2656	0	849.5618	587.755
