pid	trial_id	TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePoint
1	240	866.4	967.096	1083.8269	0	957.676	1086.0664	0	962.386	1084.946
1	240	883.1	951.0752	1108.1899	0	930.6583	1107.1894	0	940.8667	1107.689
1	240	899.6	972.6009	1125.3057	0	950.1083	1089.9044	0	961.3546	1107.60
1	240	916.4	987.7383	1127.2073	0	945.7667	1114.3356	0	966.7525	1120.771
1	240	933	979.0216	1099.0151	0	956.8632	1089.0079	0	967.9424	1094.011
1	240	949.6	941.5437	1078.7282	0	951.5707	1117.0135	0	946.5572	1097.870
1	240	966.4	974.859	1111.2839	0	947.6802	1047.8469	0	961.2696	1079.565
1	240	983	970.2381	1108.489	0	905.0036	1124.3639	0	937.6209	1116.426
1	240	999.6	972.331	1099.0422	0	940.1566	1098.5794	0	956.2438	1098.810
1	240	1016.2	966.9765	1092.5474	0	936.6137	1098.5821	0	951.7951	1095.564
1	240	1033	987.3962	1082.4881	0	944.7201	1093.1796	0	966.0582	1087.833
1	240	1049.6	961.8334	1092.7722	0	953.0774	1096.0804	0	957.4554	1094.426
1	240	1066.2	952.2071	1070.364	0	951.7827	1107.4641	0	951.9949	1088.91
1	240	1082.8	935.9554	1088.1132	0	955.8209	1120.4588	0	945.8881	1104.28
1	240	1099.6	1019.5631	1116.2415	0	964.5426	1104.9303	0	992.0529	1110.585
1	240	1116.2	1006.5412	1104.4317	0	964.5958	1100.1961	0	985.5685	1102.313
1	240	1132.8	-1	-1	4	960.0567	1103.2702	0	0.5	0.919
1	240	1149.4	1009.4146	1086.3966	0	962.9972	1104.6363	0	986.2059	1095.516
1	240	1166.2	1008.3874	1117.8483	0	963.6788	1112.4184	0	986.0331	1115.133
1	240	1182.8	1000.4952	1106.8545	0	959.7074	1109.3421	0	980.1013	1108.098
1	240	1199.4	1012.4123	1108.4318	0	955.6246	1089.6541	0	984.0185	1099.042
1	240	1216.1	-1	-1	4	960.2495	1109.3333	0	0.5001	0.924
1	240	1232.8	1015.9202	1104.3476	0	974.2375	1132.7102	0	995.0788	1118.528
1	240	1249.4	1025.3894	1086.7129	0	970.8312	1114.606	0	998.1103	1100.659
1	240	1266	1021.0816	1102.5969	0	962.5366	1099.9902	0	991.8091	1101.293
1	240	1282.7	1011.832	1095.1217	0	957.2082	1110.1484	0	984.5201	1102.635
1	240	1299.3	1007.3708	1111.1942	0	952.9916	1103.8791	0	980.1812	1107.536
1	240	1316	1002.3317	1106.2288	0	968.374	1107.1718	0	985.3529	1106.700
1	240	1332.7	1011.1297	1107.6234	0	974.6277	1104.8341	0	992.8787	1106.228
1	240	1349.3	994.5771	1104.2276	0	976.9303	1107.1499	0	985.7537	1105.688
1	240	1366	1009.4839	1099.4867	0	975.5889	1108.9116	0	992.5364	1104.199
1	240	1382.6	1007.9086	1105.4554	0	972.1858	1117.2853	0	990.0472	1111.370
1	240	1399.3	1003.3039	1116.1051	0	976.7919	1114.3364	0	990.0479	1115.220
1	240	1415.9	1007.1711	1110.0414	0	970.5571	1116.7939	0	988.8641	1113.417
1	240	1432.6	1002.4185	1111.6508	0	980.3397	1109.8637	0	991.3791	1110.757
1	240	1449.3	1002.4826	1099.8889	0	976.0817	1117.1336	0	989.2821	1108.511
1	240	1465.9	1017.9214	1110.9546	0	968.1815	1116.0359	0	993.0515	1113.495
1	240	1482.5	1005.0517	1103.6405	0	969.9134	1109.3668	0	987.4826	1106.503
1	240	1499.1	1011.6062	1105.9218	0	970.514	1121.3435	0	991.0601	1113.632
1	240	1515.9	932.8124	1095.0922	0	900.7789	1089.6815	0	916.7957	1092.386
1	240	1532.5	699.8907	1013.3494	0	710.655	987.6389	0	705.2728	1000.494
1	240	1549.1	621.0969	947.4652	0	602.2418	924.9492	0	611.6694	936.207
1	240	1565.7	589.9683	917.7761	0	586.9611	930.5721	0	588.4647	924.174
1	240	1582.3	600.2583	917.929	0	570.6101	917.2565	0	585.4342	917.592
1	240	1599.1	600.1412	930.706	0	568.3009	921.4027	0	584.2211	926.054
1	240	1615.7	603.7448	926.0823	0	573.0094	925.166	0	588.3771	925.624
1	240	1632.3	601.4013	945.2613	0	567.5573	924.9548	0	584.4793	935.108
1	240	1649	598.7922	929.1739	0	553.7147	910.1985	0	576.2535	919.686
1	240	1665.7	591.2747	931.7387	0	567.6004	927.0928	0	579.4375	929.415
1	240	1682.3	608.7355	921.8918	0	567.7738	937.0993	0	588.2547	929.495
1	240	1698.9	605.1056	934.2897	0	561.3725	922.2172	0	583.2391	928.253
1	240	1715.6	602.0671	921.5802	0	583.9282	938.9996	0	592.9977	930.289
1	240	1732.3	599.7013	928.5313	0	572.9264	921.4007	0	586.3138	924.96
1	240	1748.9	601.0344	925.1061	0	572.507	913.3981	0	586.7707	919.252
1	240	1765.6	605.1679	928.4259	0	575.9374	922.6701	0	590.5526	925.54
1	240	1782.3	605.5078	924.4686	0	566.0842	920.6698	0	585.796	922.569
1	240	1798.9	551.9159	810.8642	0	551.356	803.7445	0	551.6359	807.304
1	240	1815.5	536.2114	585.8655	0	532.6384	578.4035	0	534.4249	582.134
1	240	1832.2	538.9112	481.3856	0	531.5693	455.6143	0	535.2402	468.
1	240	1848.8	547.9965	481.5581	0	540.769	471.3183	0	544.3828	476.438
1	240	1865.4	565.3958	483.5424	0	536.2536	467.4759	0	550.8247	475.509
1	240	1882.2	557.6815	470.5937	0	540.5602	463.3281	0	549.1209	466.960
1	240	1898.8	562.6963	469.8798	0	537.1002	465.5758	0	549.8983	467.727
1	240	1915.5	570.6275	466.5827	0	540.2397	453.3003	0	555.4336	459.941
1	240	1932	558.6995	538.2097	0	524.4808	451.0841	0	541.5901	494.646
1	240	1948.6	550.5869	488.5324	0	509.5775	491.761	0	530.0822	490.146
1	240	1965.4	539.306	514.7254	0	495.9314	500.1156	0	517.6187	507.420
1	240	1982	-1	-1	4	491.8003	506.8545	0	0.2561	0.422
1	240	1998.6	541.9982	635.7736	0	501.9858	506.0106	0	521.992	570.892
1	240	2015.3	554.2032	592.4398	0	509.6377	500.2073	0	531.9204	546.323
1	240	2032	645.0983	523.7759	0	641.5726	462.6407	0	643.3355	493.208
1	240	2048.6	796.1964	425.213	0	795.1503	401.4478	0	795.6733	413.330
1	240	2065.3	-1	-1	4	807.6759	386.9526	0	0.4207	0.322
1	240	2081.9	851.2499	415.8652	0	814.7987	376.4719	0	833.0243	396.168
1	240	2098.6	843.6876	418.8953	0	821.3426	394.063	0	832.5151	406.479
1	240	2115.2	842.5369	392.1792	0	814.0297	398.939	0	828.2833	395.559
1	240	2131.9	843.9373	405.4753	0	810.0971	416.2961	0	827.0172	410.885
1	240	2148.6	844.6915	399.3602	0	815.2172	415.1737	0	829.9543	407.266
1	240	2165.2	-1	-1	4	818.6994	411.8691	0	0.4264	0.343
